question_id,dataset,question,source_url
e7909bd4-93b1-400a-8a36-e685b26f52a7,bzk_pilot,Bij welke organisaties kan ik een Woo-verzoek indienen?,https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo/vraag-en-antwoord/waar-woo-verzoek-indienen
367f189e-ebf7-45b8-97e3-9cb49db2fdc5,bzk_pilot,Hoe dien ik een Woo-verzoek in?,https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo/vraag-en-antwoord/hoe-dien-ik-een-woo-verzoek-in
dc0c896a-806f-42c0-b04d-8ed78da0112d,bzk_pilot,Wat gebeurt er nadat ik een Woo-verzoek heb gedaan?,https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo/vraag-en-antwoord/wat-gebeurt-er-nadat-ik-een-woo-verzoek-heb-ingediend
af499aa7-8c3a-46ea-85e6-ba2ff351a928,bzk_pilot,Hoe kan ik bezwaar maken tegen een beslissing van de overheid?,https://www.rijksoverheid.nl/onderwerpen/bezwaar-en-beroep/vraag-en-antwoord/bezwaar-tegen-beslissing-overheid
ab8e6ce6-b65b-4c2d-8ead-3ed080766289,bzk_pilot,Wat kan ik doen als de overheid te laat beslist over mijn aanvraag of bezwaar?,https://www.rijksoverheid.nl/onderwerpen/bezwaar-en-beroep/vraag-en-antwoord/beslissing-aanvraag-bezwaar-te-laat
6bbedb07-229a-4a4e-b2d8-11d7f7f13d64,bzk_pilot,Hoe vraag ik DigiD aan?,https://www.rijksoverheid.nl/onderwerpen/digitale-overheid/vraag-en-antwoord/hoe-vraag-ik-digid-aan
1667b282-6126-4dfc-89b7-f373e416f1dd,bzk_pilot,Met welke inlogmiddelen kan ik online zaken regelen met de overheid?,https://www.rijksoverheid.nl/onderwerpen/digitale-overheid/vraag-en-antwoord/met-welke-inlogmiddelen-kan-ik-online-zaken-regelen-met-de-overheid
b24cd6a2-28cc-4737-a26f-acc6c3022c3c,bzk_pilot,Wanneer moet ik mij in de Basisregistratie Personen (BRP) laten inschrijven als ingezetene?,https://www.rijksoverheid.nl/onderwerpen/privacy-en-persoonsgegevens/vraag-en-antwoord/wanneer-in-brp-inschrijven
a71731d4-6761-4e04-ac25-cbd10fa8cd9c,bzk_pilot,Hoe kan ik een paspoort of identiteitskaart aanvragen?,https://www.rijksoverheid.nl/onderwerpen/paspoort-en-identiteitskaart/vraag-en-antwoord/hoe-paspoort-of-id-kaart-aanvragen
2bd09c2d-d256-45c6-b61a-38ba6b24ddd4,bzk_pilot,Wat heb ik nodig om te stemmen bij de gemeenteraadsverkiezingen?,https://www.rijksoverheid.nl/onderwerpen/verkiezingen/vraag-en-antwoord/wat-heb-ik-nodig-om-te-stemmen
ad8f7d5a-c817-4195-9589-545eb13cc7cb,omgevingswet,Kan ik bezwaar maken tegen de bouwplannen of omgevingsvergunning van mijn buren?,https://www.rijksoverheid.nl/onderwerpen/bouwregelgeving/vraag-en-antwoord/kan-ik-bezwaar-maken-tegen-de-bouwplannen-of-omgevingsvergunning-van-mijn-buren
65cd1432-8bc2-426a-8fd5-c9349f019f00,omgevingswet,Waar kan ik vragen stellen over de regels voor bouwen en verbouwen?,https://www.rijksoverheid.nl/onderwerpen/bouwregelgeving/vraag-en-antwoord/waar-kan-ik-terecht-met-vragen-over-bouwen-verbouwen-en-bouwregelgeving
d95d3011-365d-4be0-a94d-dcd669f0d40c,omgevingswet,Wanneer krijg ik te maken met de Omgevingswet?,https://www.rijksoverheid.nl/onderwerpen/omgevingswet/vraag-en-antwoord/wanneer-krijg-ik-te-maken-met-de-omgevingswet
b1e4b0e2-c671-4b10-8b83-aab918956f7e,omgevingswet,Wanneer moet ik als bedrijf een milieu- of omgevingsvergunning aanvragen?,https://www.rijksoverheid.nl/onderwerpen/omgevingswet/vraag-en-antwoord/wanneer-moet-ik-als-bedrijf-een-milieuvergunning-aanvragen-of-een-melding-activiteitenbesluit-doen
58d0512e-a31a-4072-a64d-a73a1c45ef76,omgevingswet,Wanneer moet ik een omgevingsvergunning aanvragen?,https://www.rijksoverheid.nl/onderwerpen/omgevingswet/vraag-en-antwoord/wanneer-moet-ik-een-omgevingsvergunning-aanvragen
